Chicago Citation,Abstract,First Author Institution,Other Author Institutions
"Chafetz, Glenn, Hillel Abramson, Suzette Grillot. ""Role Theory and Foreign Policy: Belarussian and Ukrainian Compliance with the Nuclear Nonproliferation Regime"". Political Psychology 17, no. 4 (1996)","This article examines the feasibility of using role theory as a tool for predicting compliance with the nuclear nonproliferation regime specifically and foreign policy generally. Following the work of K.J. Holsti, we correlated Belarussian and Ukrainian leaders' articulations of national role with their countries' subsequent behavior. We found that the use of national role conception as both an independent and mediating variable explains more cases of compliance and noncompliance with the nuclear nonproliferation regime than prevailing theories of proliferation.",Department of Political Science,"['The University of Memphis', 'Center for Health Services Research', 'Center for International Trade and Security', 'The University of Georgia']"
"Baughn, C. Christopher, Attila Yaprak. ""Economic Nationalism: Conceptual and Empirical Development"". Political Psychology 17, no. 4 (1996)","To the extent that economic security is seen as a more salient concern than military security in the post-Cold War era, economic nationalism becomes an increasingly critical component of nationalistic sentiment. The potential for zero-sum orientations regarding international economic relations to constrain and disrupt the flow of goods, services, capital, and information across national borders is quite evident. Through measurement of economic nationalism at the individual level, this study links support for nationalistic economic policies with other measures of national and international orientation. The readiness to support nationalist economic policy is a function of the perceived economic threat posed by foreign competition. Economic nationalism is linked with personal job insecurity, authoritarianism, and intolerance of ambiguity. Economic nationalism is also found to be negatively related to individual cosmopolitanism.",Department of Management,"['College of Business', 'Boise State University', 'Department of Marketing', 'School of Business Administration', 'Wayne State University']"
"Sears, David O.. ""Presidential Address: Reflections on the Politics of Multiculturalism in American Society"". Political Psychology 17, no. 3 (1996)","Presidential Address delivered to the Annual Meeting of the International Society for Political Psychology, July 7, 1995, Washington, D.C.",Departments of Psychology and Political Science and,"['The Institute for Social Science Research', 'University of California, Los Angeles']"
"Kowert, Paul A.. ""Where ""Does"" the Buck Stop?: Assessing the Impact of Presidential Personality"". Political Psychology 17, no. 3 (1996)","Personality studies of important political figures have generally relied on either detailed but idiosyncratic case historical methods or the more rigorous but potentially misleading content analysis of a subject's public statements or writings. This paper employs a comparatively new method of personality assessment to evaluate the personality of postwar U. S. presidents. A Q-sort analysis produces a personality profile for each of six U. S. presidents and permits a comparison of these profiles with ""criterion"" profiles for presidential openness, effective leadership, and ""optimally adjusted"" personality. The Q-sort data provide no support for the hypothesis that a president's personality is related to his overall ""greatness"" rating by historians, but the data are consistent with the hypothesis that presidents rated high on openness may also exhibit greater integrative complexity in their policy deliberations during international crises.",International Relations Department,['Florida International University']
"Wallace, Michael D., Peter Suedfeld, Kimberly A. Thachuk. ""Failed Leader or Successful Peacemaker? Crisis, Behavior, and the Cognitive Processes of Mikhail Sergeyevitch Gorbachev"". Political Psychology 17, no. 3 (1996)","Over 3,000 paragraphs randomly sampled from public statements made by Mikhail S. Gorbachev between his accession to power in 1985 and his resignation in 1991 were scored for integrative complexity, an index of cognitive differentiation and integration in information-processing. Different levels of complexity were associated with the chronology of Gorbachev's leadership and with the issue domain being addressed: complexity was low in 1985-87, then rose to reach a peak in 1989, and then declined again. Generally, complexity in dealing with foreign policy was higher than in domestic policy matters. There was no significant difference related to whether the audience was foreign, elite domestic, or general domestic. The findings are related to historical aspects of Gorbachev's dramatic term in office and to theoretical constructs (disruptive stress, value conflict, cognitive management, and impression management) previously considered in integrative complexity research.",University of British Columbia,['Simon Fraser University']
"Gray, David B., Vladimir Ageyev, Nadya Djintcharadze, Inna Bovina. ""Belief in Equality and Democratic Leadership Behavior in Two Russian Samples"". Political Psychology 17, no. 3 (1996)","Does the belief in equality significantly affect democratic leadership in contemporary Russia? The belief in equality is defined as a set of assumptions that human ability and potential are widely distributed rather than concentrated in elite minorities. A reliable and valid inventory of the belief in equality (BE scale) which had been developed in the United States was successfully translated into Russian. Two separate samples were studied-one of Russian university students (N = 200) and the other from the Russian workforce (N = 213). Among the university students, high BE participants exhibited higher democratic leadership behaviors than low BE participants (especially true of the under-20-year-old students); however, this effect was just barely detectable for the older work-force sample. Speculations are offered regarding the differences in results between the university and the work-force sample.","Department of Psychology, Westminster College","['New Wilmington, Pa.', 'Institute of Psychology, Russian Academy of Science, Moscow', 'Nadya Djintcharadze and Inna Bovina', 'University of Moscow']"
"Costantini, Edmond, Linda O. Valenty. ""The Motives: Ideology Connection among Political Party Activists"". Political Psychology 17, no. 3 (1996)","This article explores the multidimensionality of the motivations that underlie partisan political activity, and the relationship between political motives and political ideology among activists. Using data from questionnaires submitted by over 3,300 California party activists over a 25-year period, it shows not only how motivational analysis may illuminate the basis of intraparty ideological conflict but also how that conflict is mitigated. More specifically, it indicates that while ideological differences between ambition-motivated and issue-motivated activists may be acute, focusing exclusively on those differences may distract us from the organizationally salutary fact that activists' motivations are more variegated and complex than that.",Department of Political Science,"['University of California, Davis']"
"Bardi, Anat, Shalom H. Schwartz. ""Relations among Sociopolitical Values in Eastern Europe: Effects of the Communist Experience?"". Political Psychology 17, no. 3 (1996)","Studies of values around the world have revealed that a world at peace, social justice, and equality (universalism values) are ordinarily opposed motivationally to social order and national security (security values). We first establish that these sociopolitical values exhibit an unusual pattern of compatibility in East European samples from eight countries (N = 2770). This pattern suggests a shared meaning for the sociopolitical values similar to that of conformity values and opposed to that of self-direction values. We then hypothesize that this unusual meaning of sociopolitical values reflects the experience of living under East European communist regimes. Comparison of the value priorities of opponents and supporters of the communist regime in Poland supports this hypothesis. Implications for the nature and speed of value change are discussed.",Department of Psychology,['The Hebrew University of Jerusalem']
"Yelland, Linda M., William F. Stone. ""Belief in the Holocaust: Effects of Personality and Propaganda"". Political Psychology 17, no. 3 (1996)","The effects of Holocaust denial propaganda were investigated in two experimental studies with college student subjects. Subjects in both experiments read excerpts from either (a) a denial document, (b) a factual description of Auschwitz, or (c) a control document, after which they responded to a Holocaust belief scale. Reading the denial propaganda lowered Holocaust belief scores. Also, personality differences in susceptibility to denial propaganda were found. In both studies, authoritarians who read the denial propaganda believed less that the Holocaust had actually happened, and those high in humanism believed more strongly in the Holocaust, over all conditions. Additionally, Study 2 revealed that subjects high in interpersonal trust were more influenced by the denial propaganda than those low in trust. Over all conditions, low ethnocentrics, as well as those knowledgeable about the World War II period, believed more strongly that the Holocaust had actually happened than did their opposite numbers.",Department of Psychology,['University of Maine']
"Allett, John. ""Crowd Psychology and the Theory of Democratic Elitism: The Contribution of William McDougall"". Political Psychology 17, no. 2 (1996)","The social psychology of William McDougall (1871-1938) was once widely influential but now is little referenced, his own writings being eclipsed especially by Freud's few pages of commentary in Group Psychology and the Analysis of the Ego (1922). Indeed, in some respects his work is best forgotten. This applies particularly to his advocacy of ""Nordic"" superiority, but also probably extends to certain less incendiary issues like his Lamarckism and his several attempts to provide an exhaustive listing of human instincts, which now seems little more than an inventive ad hocary. At least one aspect of his work, however, the importance of which was never fully appreciated, deserves to be recalled. McDougall is entitled to be considered a founding theorist of the modern doctrine of democratic elitism. In this distinct regard, McDougall's work cannot be dismissed as antiquated. Rather, it contributes to what is still the dominant view of contemporary democracy.",Division of Social Science,"['York University, Ontario, Canada']"
"Slote, Walter H.. ""Conflict in Action: A Psychosocial Study of a Venezuelan Revolutionary"". Political Psychology 17, no. 2 (1996)","Two focal issues are addressed in this study. First, this is an examination of the life of a young Venezuelan revolutionary and the disparity between his overt behavior and political activities, in contrast to various intrapsychic processes and unconscious conflicts. The second focal area is that of demonstrating the use of projective, psychological instruments [in this instance the Rorschach test] for field research, as an economic tool for delineating data that is not observable by studying behavior alone. This review complements a previous extensive life history that was published earlier and constitutes one segment of a long term project that examined a society in the midst of rapid social change, conducted by an international group of social scientists, sponsored by the Massachusetts Institute of Technology and the Universitas Central de Venezuela.",East Asian Institute,['Columbia University']
"Sangster, Roberta L., Robert W. Reynolds. ""A Test of Inglehart's Socialization Hypothesis for the Acquisition of Materialist/Postmaterialist Values: The Influence of Childhood Poverty on Adult Values"". Political Psychology 17, no. 2 (1996)","This study presents an empirical test of the socialization hypothesis, a principal component of Inglehart's (1990) theory concerning the development of materialist/postmaterialist value orientations. The data derive from the Family Income Study, a five-year longitudinal analysis of women in Washington State. The materialist/postmaterialist value comparison was made using seven values from the Rokeach Values Survey (Rokeach, 1973). The results of the study provide mixed support for Inglehart's socialization hypothesis. The development of materialist value orientations does appear to be associated with early-years socialization experience as predicted; however, little support can be found for the socialization thesis with respect to the development of postmaterialist value orientations. It would appear that additional factors are needed to account for the acquisition of these value orientations.",Bureau of Labor Statistics,['Weber State University']
"Heradstveit, Daniel, G. Matthew Bonham. ""Attribution Theory and Arab Images of the Gulf War"". Political Psychology 17, no. 2 (1996)","This article describes the results of an in-depth interview study of Arab elites in the wake of the Gulf war, research that only partially supports a crucial finding of research on actor-observer differences in social attribution. Although the aggregated explanations of these Arab respondents were consistent with the predictions of the theory, the attributions of Iraq's behavior by Egyptian elites, and attributions of the Coalition's behavior by Moroccan and Tunisian elites were not fully consistent with the hypothesis. These results were interpreted to suggest the importance of distinguishing, in applications of attribution theory, between complex political situations and simple social situations, the perspective of actors versus observers, and cultural differences in discursive practices.","Norwegian Institute of International Affairs, Oslo","['University of Bergen', 'Maxwell School of Citizenship and Public Affairs', 'Syracuse University']"
"Lavine, Howard, John L. Sullivan, Eugene Borgida, Cynthia J. Thomsen. ""The Relationship of National and Personal Issue Salience to Attitude Accessibility on Foreign and Domestic Policy Issues"". Political Psychology 17, no. 2 (1996)","Research on issue voting indicates that the impact of a given attitude on the candidate appraisal process depends on its personal importance or salience (e.g., Krosnick, 1988). In the present research, we suggest that salient attitudes may be more influential because they are more cognitively accessible in memory relative to less salient attitudes. Results based on within-subject, between-issue comparisons indicate that individuals have more accessible attitudes toward issues that are highly salient to them than toward issues that are relatively less salient. Results also indicate that attitude accessibility is more closely associated with the personal importance of an issue than with the perceived national importance of an issue. Finally, in applying this accessibility analysis to the debate on the relative electoral influence of foreign versus domestic issues, we find that attitudes on the latter are more accessible and more likely to arouse self-interest. Discussion focuses on developing process models of political cognition and behavior, and on the utility of accessibility theory in providing insights into these processes.",Department of Psychology Department of Political Science,"['Northern Illinois University University of Minnesota', 'Eugene Borgida Cynthia J. Thomsen', 'Department of Psychology Department of Psychology', 'University of Minnesota Tufts University']"
"Gross, Michael L.. ""Moral Reasoning and Ideological Affiliation: A Cross-National Study"". Political Psychology 17, no. 2 (1996)","While theories of moral development claim to be structural and bias-free, empirical data consistently report significantly lower levels of moral development among political conservatives. These findings are disturbing for two reasons: either they cast doubt on the bias-free claim of cognitive developmental theory, or they point to a fundamental moral flaw in conservative political ideology. To understand the relationship of moral development and political ideology data were collected from members of pro-life and pro-choice organizations in the United States and settlers' and peace groups in Israel (N=547). Two important changes were made in existing research designs. First, moral development and political behavior are examined in a cross-cultural context relative to ideological affiliations, i.e. actual behavior rather than subjective evaluations of political ideology. Second, a closed-end moral judgment test measuring both affective and cognitive aspects of moral development is employed. In the American sample significant cognitive differences were found between conservative and liberal subjects, the latter scoring consistently higher on all measures. These differences moderate considerably when education and income are controlled, suggesting that there is no bias in cognitive theory. This conclusion is confirmed by the Israeli sample. The Israeli subjects drew from similar socioeconomic background, and no differences in moral development were found. The Israeli groups also showed greater levels of political independence and lower levels of stereotyping than the American groups. The ramifications of these findings for political education and discourse are discussed in the conclusion of the paper.",Department of Political Science,['The University of Haifa']
"Ardila, Ruben. ""Political Psychology: The Latin American Perspective"". Political Psychology 17, no. 2 (1996)",Political psychology began in Latin America as a response to social needs. The main work areas have been national identity and social conscience; political socialization; nationalism and internationalism; violation of human rights and torture. Research is carried out in a large number of countries. Some of the investigations have relevance for other Third World countries and also for political psychology as a scientific discipline.,"National University of Colombia, Bogota, Colombia",[]
"Rahn, Wendy M., Brian Kroeger, Cynthia M. Kite. ""A Framework for the Study of Public Mood"". Political Psychology 17, no. 1 (1996)","In this paper we present a theoretical framework for the study of ""public mood."" We define public mood as a diffuse affective state, having distinct positive and negative components, that people experience because of their membership in a particular political community. Drawing on several different literatures, we present a typology of the etiology of public mood. Public mood has multiple origins, including chronic predisposing factors, personal and collective experiences, and discrete emotional responses to short-term events. Using a local survey, we provide a preliminary investigation of the usefulness of the typology. We then discuss some of the consequences of public mood for evaluations and judgments. We argue that public mood functions as an additional consideration in the formation of attitude responses. In our test of this idea, we find that public mood is quite influential in shaping attitudes, even when controlling for other causes.","Department of Political Science, University of Minnesota","['Department of Political Science, University of Wisconsin', 'Department of Political Science, Umed University', 'Sweden']"
"Buschman, Joan K., Silvo Lenart. """"I Am Not a Feminist, but..."": College Women, Feminism, and Negative Experiences"". Political Psychology 17, no. 1 (1996)","Basing our analysis on survey data collected from college women aged 18 to 22 years, we assess their psychological orientations toward the feminist movement generally as well as the specific influences of negative experiences and labels used for the movement upon those orientations. Our findings show that negative experiences (e.g., sexual harassment and gendered violence) positively affect respondent support for feminism. Substituting the label ""feminist"" for the label ""women's movement"" results in more negative evaluations. We conclude that the typical dichotomies of feminist/antifeminist and feminist/postfeminist mask the complexity of young women's attitudes toward the women's movement.","Department of Political Science, Purdue University","['West Lafayette, IN']"
"Jennings, Todd E.. ""The Developmental Dialectic of International Human-Rights Advocacy"". Political Psychology 17, no. 1 (1996)","This article describes the psychological processes leading to international human-rights advocacy. Based upon a series of focus group interviews with international human-rights advocates, the findings suggest that the developmental processes leading to human-rights advocacy can be described as a dialectic between one's view of society and one's self-concept. Self-concept vis-à-vis society then figures prominently as a rationale for taking action, as advocates act to maintain a sense of congruency between self-concept and behavior. The paper outlines the specific self-concept characteristics of advocates, their perspectives of their society, and how the interaction of the two can result in political advocacy for the rights of those outside one's own group.",School of Education,"['The California State University, San Bernardino']"
"Watts, Meredith W.. ""Political Xenophobia in the Transition from Socialism: Threat, Racism and Ideology among East German Youth"". Political Psychology 17, no. 1 (1996)","This analysis is based on the proposition that ""political xenophobia"" is a specific form of hostility toward foreigners that requires a chain of elements: prejudice (xenophobia) as a ""discriminatory potential,"" and a two-fold process of motivation and targeting whose elements are ideology and sense of threat (perception of negative instrumentality of foreigners). These elements together produce ""political xenophobia,"" which refers to the desire or willingness to use public policy to discriminate against foreigners. A measurement model is developed and tested using East German data from late 1990. After a measure of ""threatening"" foreigners is tested, the general model is used to examine gender differences. Results show that males showed the highest absolute levels of prejudice, rightist ideology, and sense of threat emanating from foreigners. Though all factors were less intense among females, threat played a comparatively greater (and ideology a lesser) role than among males. This suggests that it is not the absolute level of prejudice that is most critical, but the convergence of ideology and a sense of threat in the political culture that produce political xenophobia.","Department of Political Science, University of Wisconsin-Milwaukee",[]
"Prilleltensky, Isaac, Lev Gonick. ""Polities Change, Oppression Remains: On the Psychology and Politics of Oppression"". Political Psychology 17, no. 1 (1996)","While both postindustrial and emerging states face economic, cultural, and political changes, the constant of oppression remains. Economically and culturally marginalized groups continue to endure untold degrees of suffering. From a moral point of view, it is imperative that social scientists attend to the needs of the oppressed. This paper examines the dynamics of oppression in postindustrial and emerging states from both a psychological and political perspective. The reality of oppression may be understood from various levels of analysis, from the macrolevel of global economic and political structures, to the microlevel of internalized psychological images of inferiority. A comprehensive analysis of oppression will emerge only from an interdisciplinary approach that integrates the political with the psychological. Otherwise, efforts to reduce conditions of oppression will be inhibited by limited perspectives that neglect either the internal or external domains. We explore some of the psychological mechanisms accounting for oppression, such as learned helplessness, internalization of hegemonic self-rejecting views, and obedience to authority. Some of the political mechanisms accounting for oppression in emerging countries include the oppressive structure of international financial systems and internal colonization. We conclude by outlining the process of conscientization necessary to overcome conditions of oppression at all levels of analysis.","Department of Psychology, Wilfrid Laurier University","['Department of Political Science, Wilfrid Laurier University']"
"Tetlock, Philip E., Anthony Tyler. ""Churchill's Cognitive and Rhetorical Style: The Debates over Nazi Intentions and Self-Government for India"". Political Psychology 17, no. 1 (1996)","Many scholars view integratively complex reasoning as either cognitively or morally superior to integratively simple reasoning. This value judgment is, however, too simple to capture the complex, subtle, and even paradoxical linkages between integrative complexity and ""good judgment"" in historical context. Our case studies add to the growing literature on this topic by assessing the integrative and cognitive complexity of policy statements that Winston Churchill and his political adversaries made during two key foreign policy debates of the 1930s-the appeasement of Nazi Germany (where contemporary opinion overwhelmingly favors Churchill) and the granting of self-government to India (where contemporary opinion overwhelmingly favors Churchill's opponents). In both private and public, Churchill expressed less integratively complex but more cognitively complex opinions than did his opponents on both Nazi Germany and self-government for India. The results illustrate (a) impressive consistency in Churchill's integrative but not cognitive complexity in both private and public communications over time and issue domains, and (b) the dependence of normative judgments of styles of thinking on speculative counterfactual reconstructions of history and on moral-political values. We close by arguing that, although integrative complexity can be maladaptive in specific decision-making settings, it can still be highly adaptive at the meta-decision-making level where leaders ""decide how to decide."" Good judgment requires the ability to shift from simple to complex modes of processing in timely and appropriate ways.","University of California, Berkeley",[]
"Searing, Donald D.. ""The Psychology of Political Authority: A Causal Mechanism of Political Learning through Persuasion and Manipulation"". Political Psychology 16, no. 4 (1995)","I construct in this essay a social psychological explanation of a causal mechanism that is common in political life, particularly in the political life of politicians. The explanation consists of an interrelated set of rules about authority relationships between leaders and followers. These rules, which create a structure for political learning through persuasion and manipulation, are explicated with interview data on whips and backbenchers in the British House of Commons and explained by integrating rational with normative models of action.",Department of Political Science,['University of North Carolina at Chapel Hill']
"Walker, Stephen G.. ""Psychodynamic Processes and Framing Effects in Foreign Policy Decision-Making: Woodrow Wilson's Operational Code"". Political Psychology 16, no. 4 (1995)","Operational code analysis has focused most immediately upon cognitive predispositions and their influence upon political decision-making. It is also possible to analyze the motivational imagery displayed in an individual's rhetoric and draw inferences about the linkages among needs, beliefs, and political decisions. In this paper Wilson's decisions during the ratification debate over the Versailles Treaty are interpreted within the context offered by the motivational elements in his operational code. The results are compared to similar analyses of Wilson's decisions to intervene in the Mexican Revolution and enter World War I. These comparisons contribute to a better understanding of how motivations formed the foundations of Wilson's operational code and framed his foreign policy decisions.",Department of Political Science,['Arizona State University']
"Elliott, Anthony. ""Symptoms of Globalization: Or, Mapping Reflexivity in the Postmodern Age"". Political Psychology 16, no. 4 (1995)","Questions of reflexive risk assessment and evaluation are intrinsic to the nature of political management in the world of late modernity. This paper critically examines the nature of reflexivity in postmodern political conditions. I draw on psychoanalytic and postmodern theories of the phantasy networks which underpin contemporary institutional life, especially focusing on the expert systems of political management and bureaucracy. I conclude by suggesting some psychoanalytic and sociopolitical alternatives for the mapping of political reflexivity in relation to individual and collective autonomy.",Department of Political Science,['University of Melbourne']
"Gerganov, Encho N., Margarita L. Dilova, Elena P. Paspalanova, Kristina G. Petkova. ""Voting in the First Posttotalitarian Elections in Bulgaria"". Political Psychology 16, no. 4 (1995)","The voting intentions of Bulgarians as a function of their attitudes toward political formations and the impact of the social environment were studied on the basis of a representative sampling survey. Rosenberg's (1956, 1960) theoretical model of attitude was adopted. Social influence was investigated by means of Ajzen and Fishbein's (1973, 1980) concept of the subjective norm. The relative strength of the impact of the two factors, attitude and social influence, on voting intentions was obtained by means of stepwise regression analysis. As expected, attitude was the more powerful determinant of intention. The results revealed significant differences between the followers of the two main political formations (the Bulgarian Socialist Party, the former Communists, and the Union of Democratic Forces, an anti-Communist coalition) with regard both to the way they perceived the political situation at the time and to the motivation for their voting intentions.",Institute of Psychology Bulgarian Academy of Sciences,['Institute of Sociology Bulgarian Academy of Sciences']
"McCann, Stewart J. H.. ""Presidential Candidate Age and Schlesinger's Cycles of American History (1789-1992): When Younger Is Better"". Political Psychology 16, no. 4 (1995)","Based on Simonton's (1994) conclusion that in politics ""the young are the heralds of change, the old the protectors of stability,"" two hypotheses were tested: (1) winning presidential candidates are older in Schlesinger's (1986) private interest election years than in his public purpose election years; (2) winners are relatively older than corresponding second-place finishers in private interest election years than in public purpose election years. Both hypotheses were supported for first-time presidential election victories since 1789 and all elections of the past 100 years. In addition, the first hypothesis was supported for all elections since 1789, with 1812 and 1832 excluded; the second hypothesis was supported for all elections since 1789, with 1812, 1832, 1844, 1852, and 1864 excluded. In marked contrast, the ages of the second-place finishers did not vary significantly according to Schlesinger's phases for any of the comparison groups of elections.",University College of Cape Breton,[]
"Gilbert, Robert E.. ""The Political Effects of Presidential Illness: The Case of Lyndon B. Johnson"". Political Psychology 16, no. 4 (1995)","Lyndon B. Johnson's presidency was marred by illnesses of various sorts and severity. Johnson generally tried to conceal his physical indispositions until concealment became impossible. During his presidential years, the public was kept completely or partially uninformed about his ailments and medical personnel occasionally participated in the process of cover-up, either by saying nothing or by painting a far rosier portrait of his health than at times appeared warranted. Inevitably, Johnson's presidency was affected by his bouts with ill health. His feverish working style, his relationship with Congress, his attempt to deal constitutionally with the issue of presidential disability, his strong interest in health policy, and his decision to retire from politics at a relatively young age all reflected, directly or indirectly, the physical illnesses and pain that beset him.",Northeastern University,[]
"Mohr, Lawrence C.. ""The White House Physician: Role, Responsibilities and Issues"". Political Psychology 16, no. 4 (1995)","Illness or injury of the president of the United States can have significant political, economic, diplomatic, and military consequences for the nation. White House physicians, who provide medical care for the president, have responsibilities that go far beyond the usual scope of medical practice. They have a responsibility to the president as an individual patient and a responsibility to the nation through the care that they provide. The nature of these dual responsibilities confront White House physicians with a variety of unique issues, including presidential disability, implementation of the 25th Amendment, and a president's right to privacy versus the public's right to know about a president's state of health. Every White House physician must be fully prepared to deal with these issues.",Former White House Physician (1987-1993),"['Professor of Medicine', 'Medical University of South Carolina']"
"Abrams, Herbert L.. ""Presidential Health and the Public Interest: The Campaign of 1992"". Political Psychology 16, no. 4 (1995)","Concern over the issue of presidential health and temporary disability led to the ratification of the 25th Amendment in 1967. Knowledge of the illnesses of Cleveland, Wilson, Roosevelt, Kennedy, and the attack on Reagan in 1981 has stimulated an inquiry into the guidelines for invocation of the 25th, the role of the vice-president and the cabinet, and the behavior of physicians and the president in concealing their health problems from the public. The health of the presidential candidates has generally attracted far less attention, even with the example of an enfeebled Franklin D. Roosevelt who died less than three months after inauguration. During the election of 1992, however, important questions of health and the public's right to know arose in the campaigns of a number of the candidates. George Bush's hyperthyroidism was well publicized, but the potential effect of the rapid destruction of his thyroid gland by radioactive iodine was not generally understood. Paul Tsongas' doctors declared him ""cancer free"" following marrow transplantation for his lymphoma, when in fact he had a recurrence that required treatment one year later. Pat Buchanan concealed his valvular heart disease from the electorate until after the last primary, even though cardiac surgery had been scheduled for valve replacement. Perot, described as a ""paranoid with delusions"" by Bush's press secretary, stonewalled when asked about his health and refused even to provide a doctor's letter to reporters. Clinton defended his ""zone of privacy"" and at first rejected interviews on the subject of his health. Later, after criticism by major newspapers, his physicians were allowed to write detailed letters and to be interviewed by the press. The candidates' problems and behavior emphasize the strength of the case for full disclosure of significant details of their medical history. The public should be fully informed before they express their preference in the ballot; no claims of privacy, confidentiality, or privilege can obscure the obligations of the candidates to be candid with the electorate.","Professor of Radiology, Stanford University, and Member-in-Residence,",['Stanford Center for International Security and Arms Control']
"Park, Bert E.. ""Resuscitating the 25th Amendment: A Second Opinion regarding Presidential Disability"". Political Psychology 16, no. 4 (1995)","The 25th Amendment provides inadequate safeguards to protect the American public from a disabled president who either refuses to certify his own inability or, for reasons of physical or mental compromise, is unable to do so. Though Section 4 specifies who shall then decide, no explicit mandate exists to obtain the medical facts necessary for an informed decision. After all, any pronouncement of disability entails first a judgment concerning the individual's impairment, which is a medical determination to be made by physicians. It is then left to instruments outside the medical profession to determine the impact of that impairment of occupational performance, which equates with disability. A Presidential Impairment Panel staffed in part by physicians skilled in defining impairment, selected before the inception of an incoming administration, and divided equally by party would afford the vice-president an unbiased second opinion apart from the presidential physician should the president's health be called into question. The panel would be advisory only, and could neither initiate proceedings against the chief executive nor depose him. Insofar as the amendment already designates ""such other body as Congress shall by law provide"" to participate in this process, no burdensome revision of its wording would be necessary.",Southwest Missouri Neurosurgical Group,[]
"Robins, Robert S., Jerrold M. Post. ""Choosing a Healthy President"". Political Psychology 16, no. 4 (1995)","This article considers the requirement for-but dilemmas in-health screening of presidential candidates. It surveys the experience the United States has had since 1931 with the health of candidates for the presidency, especially those who have been elected. The tripartite role of the president-as chief executive, as party leader, and as national symbol/model-is stressed. Several instances of deception, or at least lack of candor, are described. The dynamics of the process are reviewed, as are the advantages and inherent problems of corrective measures.",Department of Political Science Department of Psychiatry,['Tulane University George Washington University']
"Milburn, Michael A., S. D. Conrad, Fabio Sala, Sheryl Carberry. ""Childhood Punishment, Denial, and Political Attitudes"". Political Psychology 16, no. 3 (1995)","Political attitudes are widely regarded as the product of rational processes, despite a long-standing tradition in political psychology arguing that negative affect from childhood can be displaced onto adult political opinions (Lasswell, 1930/1960). Studies failing to demonstrate a relationship between childhood experience and adult political attitudes have neglected to take into account two important interacting variables, gender and therapy (e.g., Altemeyer, 1988). We conducted both a questionnaire study of undergraduates and a telephone survey of the general population and found that males with high punishment backgrounds without therapy were significantly more conservative than high punishment males with therapy. High punishment males were also more conservative than low punishment males. Results from an experiment embedded in the survey are consistent with the hypothesis that childhood affect can be displaced onto adult political attitudes.",Psychology Department,['University of Massachusetts at Boston']
"Hayduk, Leslie A., Pamela A. Ratner, Joy L. Johnson, Joan L. Bottorff. ""Attitudes, Ideology, and the Factor Model"". Political Psychology 16, no. 3 (1995)","Recent discussions of the ideological basis of attitudes utilize both ordinary and confirmatory factor analysis as analytical representations of ideology. We examine the theoretical implications of employing this modeling style, and conclude that it imposes severe limitations on how ideology can be conceptualized and that it can lead to unreasonable claims about the sources of attitudes. The ""counting of factors"" as the dimensionality of ideology is an exercise doomed to triviality by its own basic logic. Error variables may have substantial item spans and may embody numerous higher-order factors. Additional complications arise because there is no consensus on whether to count factors whose effects bypass intervening levels, or whether directed effects between the conceptual factors alter the rules for counting. Discussions of ideology are appropriate only after one has controlled for the contribution that mundane causes make to consistencies among the attitudinal items. Structural equation modeling, as opposed to mere confirmatory factor analysis, has much to offer in terms of refocusing these issues and respecifying currently loose conceptualizations of the ideological basis of attitudes.",Pamela A. Ratner University of Alberta,"['Joy L. Johnson University of British Columbia', 'Joan L. Bottorff University of British Columbia']"
"Suedfeld, Peter, J. L. Granatstein. ""Leader Complexity in Personal and Professional Crises: Concurrent and Retrospective Information Processing"". Political Psychology 16, no. 3 (1995)","Integrative complexity scoring can be applied to any connected verbal material and has been used to assess information-processing and decision-making under stress. Here, the technique was applied to the writings of Lt.-Gen. Burns, a senior Canadian officer of World War II and commander of UN peacekeeping forces afterward. During the war, Burns experienced three major crises, one arising out of a personal indiscretion and the others from professional shortcomings. As in previous studies, the personal event was associated with an increase in complexity; as in other research, complexity decreased in a time of professional criticism and failure, increased during professional success, and increased yet again when final failure occurred and he was relieved from stress (and of his command). For the first time, the complexity of material written concurrently with events was compared with that of a retrospective account written some 15 years later (Burns's memoirs). The latter was consistently higher in complexity, but followed the same general trends of increase and decrease with events. Long-term memories appear to replicate complexity changes in response to changing conditions but evidence more psychological investment in how one thinks about the experience.",The University of British Columbia York University,[]
"Ross, Marc Howard. ""Psychocultural Interpretation Theory and Peacemaking in Ethnic Conflicts"". Political Psychology 16, no. 3 (1995)","Psychocultural interpretation theory explains the intensity and intransigence of ethnic conflicts and in so doing challenges earlier antipsychological views of social and political conflict. It provides a socially rooted psychoanalytic theory and language giving a central role to culturally rooted social and psychological processes which produce dispositions-shared images, perceptions of the external world, and motives for individual and group behavior. In intransigent ethnic conflicts, those core dispositions which invoke security fears and deep-seated threats to identity, are used by groups and individuals to interpret the motives of opponents in ways which often prevent groups from addressing the competing substantive interests which divide them. Conflict management proposals which follow from psychocultural interpretation theory focus on either altering disputants' deep-seated mutual fears surrounding issues of identity and security in intense conflicts or in lowering their salience. To do this, parties must come to recognize the connection between past losses and present fears, and to engage in collective grieving, mourning, and reconciliation. Psychocultural interpretation theory does not deny the relevance of either power inequalities or interest-based proposals for peacemaking but sees critical first steps in conflict management as changing the mutual hostile interpretations antagonists hold.",Department of Political Science,['Bryn Mawr College']
